iter	Passed	Remaining
1280	11360	6376
1281	11369	6367
1282	11379	6359
1283	11388	6350
1284	11398	6342
1285	11407	6333
1286	11417	6325
1287	11427	6316
1288	11435	6307
1289	11445	6299
1290	11453	6290
1291	11462	6281
1292	11471	6272
1293	11480	6263
1294	11489	6255
1295	11497	6245
1296	11507	6237
1297	11515	6228
1298	11524	6219
1299	11534	6210
1300	11543	6201
1301	11552	6193
1302	11560	6184
1303	11570	6175
1304	11578	6166
1305	11588	6158
1306	11598	6149
1307	11607	6141
1308	11617	6132
1309	11627	6124
1310	11638	6116
1311	11649	6108
1312	11659	6100
1313	11670	6092
1314	11680	6084
1315	11690	6076
1316	11699	6067
1317	11709	6058
1318	11718	6050
1319	11728	6041
1320	11737	6033
1321	11747	6024
1322	11756	6015
1323	11765	6007
1324	11774	5998
1325	11783	5989
1326	11792	5980
1327	11801	5971
1328	11809	5962
1329	11818	5953
1330	11826	5944
1331	11836	5935
1332	11845	5927
1333	11853	5918
1334	11863	5909
1335	11872	5900
1336	11881	5891
1337	11889	5882
1338	11897	5873
1339	11905	5863
1340	11914	5855
1341	11922	5845
1342	11931	5836
1343	11940	5828
1344	11949	5819
1345	11957	5809
1346	11966	5801
1347	11975	5792
1348	11984	5783
1349	11994	5774
1350	12003	5766
1351	12013	5757
1352	12022	5749
1353	12031	5740
1354	12042	5732
1355	12051	5723
1356	12062	5715
1357	12071	5706
1358	12081	5698
1359	12091	5690
1360	12100	5681
1361	12110	5672
1362	12120	5664
1363	12130	5655
1364	12139	5647
1365	12148	5638
1366	12157	5629
1367	12165	5620
1368	12174	5611
1369	12183	5602
1370	12192	5593
1371	12200	5584
1372	12209	5575
1373	12218	5566
1374	12227	5557
1375	12236	5548
1376	12244	5539
1377	12253	5531
1378	12262	5522
1379	12271	5513
1380	12279	5504
1381	12289	5495
1382	12297	5486
1383	12306	5477
1384	12314	5468
1385	12323	5459
1386	12331	5450
1387	12340	5441
1388	12349	5432
1389	12358	5423
1390	12366	5414
1391	12374	5405
1392	12384	5396
1393	12393	5387
1394	12402	5378
1395	12411	5369
1396	12419	5360
1397	12428	5351
1398	12437	5343
1399	12446	5334
1400	12455	5325
1401	12464	5316
1402	12473	5307
1403	12482	5299
1404	12492	5290
1405	12501	5281
1406	12510	5272
1407	12518	5263
1408	12527	5254
1409	12536	5245
1410	12545	5236
1411	12553	5227
1412	12563	5219
1413	12571	5210
1414	12580	5201
1415	12589	5192
1416	12598	5183
1417	12607	5174
1418	12615	5165
1419	12624	5156
1420	12633	5147
1421	12642	5138
1422	12651	5130
1423	12660	5121
1424	12669	5112
1425	12677	5103
1426	12686	5094
1427	12694	5085
1428	12703	5076
1429	12712	5067
1430	12721	5058
1431	12730	5049
1432	12739	5040
1433	12748	5031
1434	12757	5022
1435	12766	5014
1436	12774	5005
1437	12784	4996
1438	12792	4987
1439	12801	4978
1440	12809	4969
1441	12818	4960
1442	12826	4951
1443	12836	4942
1444	12844	4933
1445	12853	4924
1446	12861	4915
1447	12870	4906
1448	12879	4897
1449	12888	4888
1450	12897	4879
1451	12906	4870
1452	12915	4862
1453	12924	4853
1454	12933	4844
1455	12941	4835
1456	12951	4826
1457	12959	4817
1458	12968	4808
1459	12976	4799
1460	12985	4790
1461	12993	4781
1462	13002	4772
1463	13011	4763
1464	13019	4754
1465	13027	4745
1466	13035	4736
1467	13043	4727
1468	13053	4718
1469	13061	4709
1470	13070	4700
1471	13079	4691
1472	13088	4682
1473	13096	4673
1474	13105	4664
1475	13115	4656
1476	13124	4647
1477	13133	4638
1478	13141	4629
1479	13149	4620
1480	13158	4611
1481	13166	4602
1482	13175	4593
1483	13184	4584
1484	13193	4575
1485	13202	4566
1486	13211	4557
1487	13219	4548
1488	13228	4539
1489	13237	4531
1490	13246	4522
1491	13255	4513
1492	13264	4504
1493	13273	4495
1494	13281	4486
1495	13290	4477
1496	13299	4468
1497	13308	4459
1498	13316	4450
1499	13325	4441
1500	13335	4433
1501	13344	4424
1502	13352	4415
1503	13361	4406
1504	13371	4397
1505	13380	4388
1506	13389	4380
1507	13398	4371
1508	13407	4362
1509	13416	4353
1510	13424	4344
1511	13433	4335
1512	13441	4326
1513	13451	4317
1514	13459	4308
